external_id;name;description;price;brand;category;subcategory;gender;photos
_dmxrSrus9CAbZu_7G9azeifBOuRWEXIygYLoZ9A;Louis Vuitton;贝壳横版手提-白彩 款号：M13084、 尺寸：14x10x27cm LV白三彩保龄球包｜背上它秒变千禧复古辣妹 绝版配色，复古又吸睛，保龄球包型，圆润可爱但超能装，日常出门所需全塞下，轻便不压肩。;48000;;l1v0jdhlhflwj7x;dnckd3yiv2q0r5f;Для женщин;"[""https://xcimg.szwego.com/img/acd89c05/20251010/o_1j76shhkq1dndgp74ei47t1fg10.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20251010/o_1j76shhkqe2s1da55n47qb1lut1.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20251010/o_1j76shhkrlo41ub0oe31bms1jvh3.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20251010/o_1j76shhkrkmvf471eiq1rccq9h2.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20251010/o_1j76sjc3phqhtqagp212gsvda0.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20251010/o_1j76sjc3ploc1lpgaq65vg18uq1.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20251010/o_1j76sjc3p1ufl1p1c1paq3r21n912.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20251010/o_1j76sjc3p1flk4dv118s9a81bhj3.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20251010/o_1j76sjc3p1sr04351qjn15nbtii4.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20251010/o_1j76te2bhtf51jgr4lb8jo1df80.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20251010/o_1j76sjc3qpqn1uk1d349qrbof6.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20251010/o_1j76sjc3q1sci10kromn1rhg5f57.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20251010/o_1j76sjc3qv9dqmd128nla21g5j8.jpeg""]"
_dxWrSnkNHwlrv81hK4p3Ge5UUknG6WRjLcdmFuA;Louis Vuitton;Speedy30-杏粉 款号：M15108 尺寸：30x17x21cm 米白色搭配棕色印花，既优雅又不失时尚感，超级百搭，以醒目色彩和惬意之姿相伴旅途;48000;;l1v0jdhlhflwj7x;dnckd3yiv2q0r5f;Для женщин;"[""https://xcimg.szwego.com/img/acd89c05/20250806/windows1754494837724_1963421056856820649.jpg"", ""https://xcimg.szwego.com/img/acd89c05/20250806/windows1754494837724_1963421056-2002770418.jpg"", ""https://xcimg.szwego.com/img/acd89c05/20250806/windows1754494837722_19634210562131348063.jpg"", ""https://xcimg.szwego.com/img/acd89c05/20250806/windows1754494837748_2350934461049618884.jpg"", ""https://xcimg.szwego.com/img/acd89c05/20250806/windows1754494952937_50801889971734374.jpg"", ""https://xcimg.szwego.com/img/acd89c05/20250806/windows1754494952940_508018899-1363641855.jpg"", ""https://xcimg.szwego.com/img/acd89c05/20250806/windows1754494953281_2041983822-1170843620.jpg"", ""https://xcimg.szwego.com/img/acd89c05/20250806/windows1754494952940_508018899-89114441.jpg"", ""https://xcimg.szwego.com/img/acd89c05/20250806/windows1754494955079_486914213164380209.jpg"", ""https://xcimg.szwego.com/img/acd89c05/20250806/windows1754494955079_4869142131246109388.jpg"", ""https://xcimg.szwego.com/img/acd89c05/20250806/windows1754494955079_4869142131406958203.jpg"", ""https://xcimg.szwego.com/img/acd89c05/20250806/windows1754494955262_950682779-28418026.jpg"", ""https://xcimg.szwego.com/img/acd89c05/20250806/windows1754494956651_1669675358-71024119.jpg"", ""https://xcimg.szwego.com/img/acd89c05/20250806/windows1754494956811_1362915996-1152753298.jpg"", ""https://xcimg.szwego.com/img/acd89c05/20250806/windows1754494956652_292719639-1186072356.jpg"", ""https://xcimg.szwego.com/img/acd89c05/20250806/windows1754494956651_1669675358-1186071331.jpg"", ""https://xcimg.szwego.com/img/acd89c05/20250806/windows1754494958120_121696682522332776.jpg"", ""https://xcimg.szwego.com/img/acd89c05/20250806/windows1754494958098_1850024292522333801.jpg"", ""https://xcimg.szwego.com/img/acd89c05/20250806/windows1754494958098_1850024292522330850.jpg""]"
_dpmrSPvAZ6O3mDK80GmGVvj0jkTtx1prN7Mqkig;Louis Vuitton;新款腰包-老花 款号：M46784 尺寸：16x8x38cm 选用品牌经典的Monogram涂层帆布打造包身，搭配可拆卸的天然牛皮，尽显品牌标志性工艺。可调节的纺织肩带设计为整体造型注入一抹运动活力，既实用又时髦。;48000;;l1v0jdhlhflwj7x;dnckd3yiv2q0r5f;Для женщин;"[""https://xcimg.szwego.com/img/acd89c05/20250804/windows1754342701888_1002855422-872515823.jpg"", ""https://xcimg.szwego.com/img/acd89c05/20250804/windows1754342701876_232327494-1954245002.jpg"", ""https://xcimg.szwego.com/img/acd89c05/20250804/windows1754342701877_232327494-2147043237.jpg"", ""https://xcimg.szwego.com/img/acd89c05/20250804/windows1754342701877_2323274941066194880.jpg"", ""https://xcimg.szwego.com/img/acd89c05/20250804/windows1754342787191_13215508071293915303.jpg"", ""https://xcimg.szwego.com/img/acd89c05/20250804/windows1754342787108_1089666524-1919322814.jpg"", ""https://xcimg.szwego.com/img/acd89c05/20250804/windows1754342787178_1672922698-1726524579.jpg"", ""https://xcimg.szwego.com/img/acd89c05/20250804/windows1754342787178_16729226981133066488.jpg"", ""https://xcimg.szwego.com/img/acd89c05/20250804/windows1754342788765_356828305-2018018089.jpg"", ""https://xcimg.szwego.com/img/acd89c05/20250804/windows1754342788844_1965668307-936288910.jpg"", ""https://xcimg.szwego.com/img/acd89c05/20250804/windows1754342788855_1614296416-775440095.jpg"", ""https://xcimg.szwego.com/img/acd89c05/20250804/windows1754342788843_1965668307306289084.jpg"", ""https://xcimg.szwego.com/img/acd89c05/20250804/windows1754342789390_14645462582024794753.jpg""]"
_do6rSpOY_UCH2xOBJHJvUhhvrzEGOzWsONxFApA;Louis Vuitton;腋下豌豆包-牛仔 款号：M13571 尺寸：15x21x7cm 丹宁小豌豆腋下包 独特又复古，时尚拉满～;48000;;l1v0jdhlhflwj7x;dnckd3yiv2q0r5f;Для женщин;"[""https://xcimg.szwego.com/img/acd89c05/20250817/o_1j2retn6i16makia1l2c1oa51loi0.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20250817/o_1j2retn6i1q2eql918b51b6q1fal1.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20250817/o_1j2retn6jasg1nuhbm4fie180p3.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20250817/o_1j2retn6jhfarn6k031kq4mgt2.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20250817/o_1j2rf251s1uca1jmn1uml7e91ngf8.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20250817/o_1j2rf1v9p1v6lckrjv012bjbu0.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20250817/o_1j2rf1v9p1kr81emm11ah11gs1df91.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20250817/o_1j2rf1v9pao416mkkn9e8k1m432.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20250817/o_1j2rf1v9qd1ph15sjh1eoq1guj3.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20250817/o_1j2rf1v9qh3r1b4a1j2v3goirr4.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20250817/o_1j2rf1v9r1a5ik5c8j2fh31grs6.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20250817/o_1j2rf1v9r13eo18o9fi01lfko277.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20250817/o_1j2rf1v9qppgd81vn21o621m7d5.jpeg""]"
_dt8rS3NVQbwQ4Y1_Ih_1UMK7mjiKMBHTRgCm7_w;Louis Vuitton;Allinbb水桶-棋盘格白 款号：N40855 尺寸： 16x18x12cm 👜LV白棋盘格水桶包，经典Dame系列，采用Damier Azur白棋盘格PVC材质，搭配红色皮革手柄和肩带，复古优雅✨轻便耐用，适合通勤或休闲场合 日常物品轻松收纳，手提或斜挎都很百搭，春夏季节搭配浅色系服饰超有气质🌸。白棋盘格设计辨识度高，不易撞款，是中古市场热门单品，实用又时髦！;48000;;l1v0jdhlhflwj7x;dnckd3yiv2q0r5f;Для женщин;"[""https://xcimg.szwego.com/img/acd89c05/20260324/o_1jker98qt1fijsog1bjm39al0j0.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20260324/o_1jker98qtouc1st9158v31h1aet1.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20260324/o_1jker98qtj3v1qln1udd2b31k9q2.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20260324/o_1jker98qtdp35gi1kl328n17f43.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20260324/o_1jkerkjl01tkpbgf1uqu10qp11e58.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20260324/o_1jkerke05rat1gq71vm2icf1q5n0.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20260324/o_1jkerke061d0p1s5a7ef17e4jbr3.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20260324/o_1jkerke05g3h1nqfch631pdvv2.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20260324/o_1jkerke063g41js81k201uga1uf74.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20260324/o_1jkerke061abv1e0o12h8le120d6.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20260324/o_1jkerke051tdv17m07df6f9oeb1.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20260324/o_1jkerke065rbqc6109manklko5.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20260324/o_1jkerke061srd5mm1dp8oak1soi7.jpeg""]"
_dwUrSSk11Bd7faIDo5W6cnCwJDcxdMtL1VNpLng;Louis Vuitton;徽标双肩小号-猫咪 款号：M15135 尺寸：30x18x28cm montsouris的包型挺经典的帆布涂层又轻又耐造，非常符合需要背书包出行的使用场景，小短途、户外玩耍都很合适颜色比较清爽不容易过时，春夏浅色秋冬暖棕调的衣服色系都能搭~~~;52000;;l1v0jdhlhflwj7x;f90rr9vze6wwd1c;Для женщин;"[""https://xcimg.szwego.com/img/acd89c05/20251121/o_1jaj16fr29jg1m3ivqle1lqjc0.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20251121/o_1jaj16fr21mtga0ugs1jclm231.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20251121/o_1jaj16fr3ijm59dq7a1i5a4g62.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20251121/o_1jaj16fr310c91ci55u0b2i11d33.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20251121/o_1jaj1bev31blv108p1g5c2bkv830.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20251121/o_1jaj1bev4q351v2b3d9a8vdto2.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20251121/o_1jaj1bev41t1s1k6r17r61pan1b7p3.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20251121/o_1jaj1bev514n2antado1tue1t494.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20251121/o_1jaj1bev5dnsshd1kdlig51l265.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20251121/o_1jaj1bev56s6svj2e1chr19je6.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20251121/o_1jaj1bev59uh1dheb4c1mliun07.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20251121/o_1jaj1bev3ipad07uvh1onn8p01.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20251121/o_1jaj1bev61ncqnqjmctnj01jgb8.jpeg""]"
_dq_rSnGZomDmURoZ7bnbuuxgJk5NP9TIqS4bqpA;Louis Vuitton;村上隆&speedynano-白彩 款号：M13391 尺寸：10x7.5x16cm 路易威登 × 村上隆 Nano Speedy 手袋 Louis Vuitton 再度携手日本艺术家村上隆带来限量合作系列，这只 Nano Speedy 手袋采用 Monogram Multicolore 涂层帆布塑造玲珑构型，相互交织的 LV 字母和花卉图案渲染33种缤纷色调，搭配 VVN 天然小牛皮饰边和蝴蝶结造型钥匙包，呈现愉悦而清新的风格。;48000;;l1v0jdhlhflwj7x;dnckd3yiv2q0r5f;Для женщин;"[""https://xcimg.szwego.com/img/acd89c05/20250915/windows1757963600496_1300007329-1609310888.jpg"", ""https://xcimg.szwego.com/img/acd89c05/20250915/windows1757963600511_948635438-527581709.jpg"", ""https://xcimg.szwego.com/img/acd89c05/20250915/windows1757963600495_1300007329-1802109123.jpg"", ""https://xcimg.szwego.com/img/acd89c05/20250915/windows1757963600495_13000073291411128994.jpg"", ""https://xcimg.szwego.com/img/acd89c05/20250915/windows1757963720092_34280083-627110309.jpg"", ""https://xcimg.szwego.com/img/acd89c05/20250915/windows1757963720103_804808011454618870.jpg"", ""https://xcimg.szwego.com/img/acd89c05/20250915/windows1757963720091_34280083-1869688303.jpg"", ""https://xcimg.szwego.com/img/acd89c05/20250915/windows1757963720091_34280083-787959124.jpg"", ""https://xcimg.szwego.com/img/acd89c05/20250915/windows1757963721369_16432881981778757460.jpg"", ""https://xcimg.szwego.com/img/acd89c05/20250915/windows1757963721370_1643288198-1434480657.jpg"", ""https://xcimg.szwego.com/img/acd89c05/20250915/windows1757963721381_1291916307-1241682422.jpg"", ""https://xcimg.szwego.com/img/acd89c05/20250915/windows1757963721369_16432881981617908645.jpg"", ""https://xcimg.szwego.com/img/acd89c05/20250915/windows1757963722109_484034896-1951994581.jpg"", ""https://xcimg.szwego.com/img/acd89c05/20250915/windows1757963722120_1254562824-870265402.jpg"", ""https://xcimg.szwego.com/img/acd89c05/20250915/windows1757963722108_4840348961929660140.jpg""]"
_d_KrS-OhlIFtfahYd_fQyGlTczaBj-znl9RXgdw;Louis Vuitton;三合一白色兰花 款号：M28127 尺寸：21x12x3cm 对蓝色白月光包包毫无抵抗力！ 颜值超高的Monogram Empreinte系列 敲黑板，等到春夏再来就没有啦！ 在LV每一种别致的色彩都值得灿烂;48000;;l1v0jdhlhflwj7x;dnckd3yiv2q0r5f;Для женщин;"[""https://xcimg.szwego.com/img/acd89c05/20260324/o_1jkerp5e2148b1en9bgjfqdoh80.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20260324/o_1jkerp5e31crj4pb1ruj1bpl19cq1.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20260324/o_1jkerp5e31pfiqval9c2nf14m63.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20260324/o_1jkerp5e318q3178guub5lr1hle2.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20260324/o_1jkerra4m1ukk91k20l1g141qun8.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20260324/o_1jkerra4l1coqltm1lhh10kb1kip2.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20260324/o_1jkerra4m119ks0p1vkn68bqj54.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20260324/o_1jkerra4l16cl4so16cmd52iot3.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20260324/o_1jkerra4mdav1sf61pe8vnv3mg6.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20260324/o_1jkerra4mtktvnlqi6112i1rge7.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20260324/o_1jkerra4loaejfa7qaoi11vn71.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20260324/o_1jkerra4m18dca8b1sapupt1gk75.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20260324/o_1jkerra4nlsfeo9vq812ul1rjf9.jpeg""]"
_d_arS_Zt5PSx4FMhF6LguKgkgJjWq9SCZvifvRQ;Louis Vuitton;speedy25-白彩 款号：M13085 尺寸：25x19x15cm LV村上隆 白三彩 真的是太好看啦 时尚是个轮回，容量超大，自重很轻，斜挎手拎都🉑;48000;;l1v0jdhlhflwj7x;dnckd3yiv2q0r5f;Для женщин;"[""https://xcimg.szwego.com/img/acd89c05/20250919/o_1j5h2ijqdikm81f10g664g1cgq0.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20250919/o_1j5h2ijqdr75i5d1stg21jgi1.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20250919/o_1j5h2ijqe1bkr1o4m1r251ffb18ss3.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20250919/o_1j5h2ijqe1ve01681j1ah9d1ttb2.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20250919/o_1j5h2sfdm8qk196lvji1lf913340.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20250919/o_1j5h2sfdnctv1q3716c91smu16cb1.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20250919/o_1j5h2sfdnokp16r489hv6360m2.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20250919/o_1j5h2sfdn1oqo1gvi1kbr17ho1a823.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20250919/o_1j5h2sfdn1qpj1qos1idp1bt3128l4.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20250919/o_1j5h2sfdnb9komm1m9s1p8t1l8f5.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20250919/o_1j5h2sfdohmp12oj1pjlmah10vi6.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20250919/o_1j5h2sfdo1vlb6pch161nad1lme7.jpeg"", ""https://xcimg.szwego.com/img/acd89c05/20250919/o_1j5h2sfdog9d1470vamh4b1rk38.jpeg""]"
_dvarSd3mZsnwcOyBISTw_T-_y4a5DHcKp5J9-lQ;Louis Vuitton;链条包-米色粉花 款号：M26583 尺寸：11x6x20.5cm 温柔到骨子里的颜色，不挑肤色还特显气质，实用性在线～日常搭衣服超和谐，约会配小裙子温柔，一只包搞定多种场合耶;48000;;l1v0jdhlhflwj7x;dnckd3yiv2q0r5f;Для женщин;"[""https://xcimg.szwego.com/img/acd89c05/20250818/windows1755514409949_20789951431895734751.jpg"", ""https://xcimg.szwego.com/img/acd89c05/20250818/windows1755514409765_1615226577-1317504389.jpg"", ""https://xcimg.szwego.com/img/acd89c05/20250818/windows1755514409765_1615226577-1124706154.jpg"", ""https://xcimg.szwego.com/img/acd89c05/20250818/windows1755514409763_16152265771734879798.jpg"", ""https://xcimg.szwego.com/img/acd89c05/20250818/windows1755514505973_1362899261-1931236711.jpg"", ""https://xcimg.szwego.com/img/acd89c05/20250818/windows1755514506113_636983862-1675646334.jpg"", ""https://xcimg.szwego.com/img/acd89c05/20250818/windows1755514505973_1362899261680610259.jpg"", ""https://xcimg.szwego.com/img/acd89c05/20250818/windows1755514505971_1362899261-2092085526.jpg"", ""https://xcimg.szwego.com/img/acd89c05/20250818/windows1755514507896_1580769791180976060.jpg"", ""https://xcimg.szwego.com/img/acd89c05/20250818/windows1755514508066_1274010429-900751964.jpg"", ""https://xcimg.szwego.com/img/acd89c05/20250818/windows1755514507898_1580769791-1061601934.jpg"", ""https://xcimg.szwego.com/img/acd89c05/20250818/windows1755514507898_1580769791-2143327912.jpg"", ""https://xcimg.szwego.com/img/acd89c05/20250818/windows1755514509035_1768209658-896690864.jpg"", ""https://xcimg.szwego.com/img/acd89c05/20250818/windows1755514509010_997681730-1978416842.jpg""]"
