external_id;name;description;price;brand;category;subcategory;gender;photos
_d8erS3jzI3cB_sg-tyrtePp3clCnLzaoYbp33zA;;加20元升级全套礼盒发货 飞机盒 购物袋 礼盒 丝带 卡片 雪梨纸 官网配件 给你官网购物的体验感;0;;lrg3k8cd5bgw3jv;;Для мужчин;"[""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114157919_8600_0_0.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114158769_6016_0_1.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114158029_4431_0_2.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114418357_6619_0_6.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114418357_5195_0_7.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114418357_5588_0_8.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114158055_5233_0_3.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114157999_1874_0_4.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114158027_311_0_5.jpg""]"
_dWBrSDwioNdAWRDo6krUjTihGNi1FcgiivT52xA;;细节图请品鉴 无滤镜实拍 好的东西 不需要花里胡哨吹嘘;0;;lrg3k8cd5bgw3jv;;Для мужчин;"[""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114136136_367_0_0.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114134688_990_0_1.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114136251_627_0_2.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114134795_6373_0_3.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114134786_655_0_4.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114134643_5410_0_6.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114136170_9925_0_7.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114136190_1050_0_8.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114136199_138_0_9.jpg""]"
_dtErSS4dP65e_akTAffhzFH9Jznvl_I1NVDmqoQ;;190💰克罗心CH特殊版本‼️真正少而又少的货🔥真正做到顶奢 所有面料 辅料 五金 独家开模定制而成，真正1:1顶级出货 s m l;0;;lrg3k8cd5bgw3jv;;Для мужчин;"[""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114092200_482_0_0.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114090755_8652_0_1.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114092227_2855_0_2.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114090786_4189_0_3.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114090755_5286_0_4.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114090756_1903_0_5.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114092214_5294_0_6.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114090756_9946_0_7.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114092202_6256_0_8.jpg""]"
_drrrSfCIhauCrE3t_2DjkpBbEUMKVjB42v56-Lw;;加20元升级全套礼盒发货 飞机盒 购物袋 礼盒 丝带 卡片 雪梨纸 官网配件 给你官网购物的体验感;0;;lrg3k8cd5bgw3jv;;Для мужчин;"[""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114924740_834_0_0.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114924047_5725_0_1.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114924756_5843_0_2.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114418357_6619_0_6.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114418357_5195_0_7.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114418357_5588_0_8.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114924778_2581_0_3.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114924690_7429_0_4.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114924086_5_0_5.jpg""]"
_d_UrStLzQcKB2ggUY-jPcJa9OXsE76h8beo_BUA;;细节图请品鉴 无滤镜实拍 好的东西 不需要花里胡哨吹嘘;0;;lrg3k8cd5bgw3jv;;Для мужчин;"[""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114908928_7450_0_0.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114907807_3822_0_1.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114907930_4694_0_2.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114907938_2305_0_3.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114908862_2696_0_4.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114909022_1912_0_5.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114908941_6639_0_6.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114908020_5811_0_7.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114907855_7614_0_8.jpg""]"
_dBrrSdbq3mlMY0OoQS0_3kDdJ-eTs7IbUTamxLw;;细节图请品鉴 无滤镜实拍 好的东西 不需要花里胡哨吹嘘;0;;lrg3k8cd5bgw3jv;;Для мужчин;"[""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114888102_9658_0_0.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114889244_6453_0_1.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114888239_1735_0_2.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114889148_9253_0_3.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114888108_7977_0_8.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114889846_6641_0_4.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114889133_8943_0_6.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114889279_2986_0_9.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114889254_6046_0_10.jpg""]"
_dkZrSI_uMYGyXfdoLzERiiFemv1dEvRt07BwUzA;;两个色发售 专柜同步配色‼️;0;;lrg3k8cd5bgw3jv;;Для мужчин;"[""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114871805_583_0_0.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114871877_2173_0_1.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114872855_1860_0_2.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114872914_8602_0_3.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114872007_7134_0_4.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114871908_7296_0_5.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114871975_8285_0_6.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114872926_8869_0_7.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114872823_8089_0_8.jpg""]"
_drPrSJvT-Wt2Shb1ZX0yurilu7Zj7WKwddN6ujA;;190💰克罗心CH特殊版本‼️真正少而又少的货🔥真正做到顶奢 所有面料 辅料 五金 独家开模定制而成，真正1:1顶级出货 s m l;0;;lrg3k8cd5bgw3jv;;Для мужчин;"[""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114849482_5534_0_0.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114848708_2354_0_1.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114848694_359_0_2.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114848678_3410_0_3.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114848737_668_0_4.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114849526_8704_0_5.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114849482_2395_0_6.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114849549_4859_0_7.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114848648_823_0_8.jpg""]"
_dwirSJSEoEo-0GtOggEfQh6G63t3WRp5VPlNN-w;;加20元升级全套礼盒发货 飞机盒 购物袋 礼盒 丝带 卡片 雪梨纸 官网配件 给你官网购物的体验感;0;;lrg3k8cd5bgw3jv;;Для мужчин;"[""https://xcimg.szwego.com/img/74bb50be/20260425/i1777115455097_3594_0_0.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777115455122_617_0_1.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777115454450_7294_0_2.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114418357_6619_0_6.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114418357_5195_0_7.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777114418357_5588_0_8.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777115454498_8662_0_6.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777115454481_9146_0_7.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777115454449_6862_0_8.jpg""]"
_dx2rSvjA5Bx8lamDQg_soOMzfltwe5Kfsy-jO8Q;;细节图请品鉴 无滤镜实拍 好的东西 不需要花里胡哨吹嘘;0;;lrg3k8cd5bgw3jv;;Для мужчин;"[""https://xcimg.szwego.com/img/74bb50be/20260425/i1777115427047_7416_0_0.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777115427195_3087_0_1.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777115427031_6448_0_2.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777115428293_7510_0_3.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777115428802_2221_0_4.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777115428759_4257_0_8.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777115427194_7100_0_6.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777115426859_1119_0_7.jpg"", ""https://xcimg.szwego.com/img/74bb50be/20260425/i1777115428651_7772_0_9.jpg""]"
