external_id;name;description;price;brand;category;subcategory;gender;photos
_dr5rSq0MkTuJ7akmT8Be3ExngV5Di9dUqBMut_Q;;这款经典的Dway带跟凉拖饰以多色DaisyGarden图案，富有田园情的缤纷设计展现雏菊的采，致敬Dior钟情于花卉的传承。鞋面白色底色饰以梦幻粉色(Songepink)Dior标志刺绣，富有辨识度。搭配3.5厘米圆柱形鞋跟，可为各式装扮增添时尚风范，可与其他DaisyGarden图案单品搭配，打造配套造型。 💰:340 尺码：35-41;0;ivacgwvpdne0t35;nzg3vsvajpiv1e8;;Для женщин;"[""https://xcimg.szwego.com/img/e2ea4d8a/20260425/i1777110729657_2879_0_0.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260425/i1777110728366_3738_0_1.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260425/i1777110729658_5144_0_2.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260425/i1777110728327_6645_0_3.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260425/i1777110728289_7493_0_4.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260425/i1777110728392_9886_0_5.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260425/i1777110728422_4320_0_6.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260425/i1777110729626_1330_0_8.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260425/i1777110746862_1331_0_8.jpg""]"
_duWrS-FXfFPu6JMBlPKM1i7jmeWyC66A_FhCP3w;;这款经典的Dway棉质凉拖饰以多色DiorSecretGarden图案，灵感源自经典的花卉图案挂毯，散发诗意与优雅的气息。鞋面饰以Dior标志刺绣，富有辨识度。可为各式造型增添时髦风范，可与Dior SecretGarden系列的其他单品搭配，打造配套造型。 💰:340 尺码:35-41;0;ivacgwvpdne0t35;nzg3vsvajpiv1e8;;Для женщин;"[""https://xcimg.szwego.com/img/e2ea4d8a/20260425/i1777109192882_9873_0_0.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260425/i1777109194192_8907_0_1.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260425/i1777109192816_1533_0_2.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260425/i1777109194130_5328_0_3.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260425/i1777109192808_808_0_4.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260425/i1777109192810_9860_0_5.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260425/i1777109192884_8611_0_6.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260425/i1777109194193_3689_0_7.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260425/i1777109194165_2294_0_8.jpg""]"
_dqFrS37y4Ey-Tk5TsdlubPXShM_G0M3U-IC0I2A;;这款经典的Dway棉质凉拖饰以多色DiorSecretGarden图案，灵感源自经典的花卉图案挂毯，散发诗意与优雅的气息。鞋面饰以Dior标志刺绣，富有辨识度。可为各式造型增添时髦风范，可与Dior SecretGarden系列的其他单品搭配，打造配套造型。 💰:340 尺码:35-41;0;ivacgwvpdne0t35;nzg3vsvajpiv1e8;;Для женщин;"[""https://xcimg.szwego.com/img/e2ea4d8a/20260425/i1777108491466_6984_0_0.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260425/i1777108489508_8687_0_1.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260425/i1777108489508_2844_0_2.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260425/i1777108491516_5311_0_3.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260425/i1777108489498_6039_0_4.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260425/i1777108491411_3886_0_5.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260425/i1777108491469_9800_0_6.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260425/i1777108489565_6792_0_7.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260425/i1777108489499_5759_0_8.jpg""]"
_dhCrSj4YlAx5WAKCRFkHT-tPy-6XJhU73me5Ywg;;这款经典的Dway带跟凉拖饰以多色DaisyGarden图案，富有田园情的缤纷设计展现雏菊的采，致敬Dior钟情于花卉的传承。鞋面白色底色饰以梦幻粉色(Songepink)Dior标志刺绣，富有辨识度。搭配3.5厘米圆柱形鞋跟，可为各式装扮增添时尚风范，可与其他DaisyGarden图案单品搭配，打造配套造型。 💰:340 尺码：35-41;0;ivacgwvpdne0t35;nzg3vsvajpiv1e8;;Для женщин;"[""https://xcimg.szwego.com/img/e2ea4d8a/20260425/i1777110934095_6978_0_0.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260425/i1777110934048_5460_0_1.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260425/i1777110934083_989_0_2.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260425/i1777110934134_9923_0_3.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260425/i1777110935629_7797_0_4.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260425/i1777110935569_6435_0_5.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260425/i1777110934160_2097_0_6.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260425/i1777110935599_140_0_7.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260425/i1777110935566_9211_0_8.jpg""]"
_dz6rSDOoRjKQM4qKtZn3NZ6yLVusSHzVrQ0fISg;;这款经典的Dway带跟凉拖饰以多色DaisyGarden图案，富有田园情的缤纷设计展现雏菊的采，致敬Dior钟情于花卉的传承。鞋面白色底色饰以梦幻粉色(Songepink)Dior标志刺绣，富有辨识度。搭配3.5厘米圆柱形鞋跟，可为各式装扮增添时尚风范，可与其他DaisyGarden图案单品搭配，打造配套造型。 💰:340 尺码：35-41;0;ivacgwvpdne0t35;nzg3vsvajpiv1e8;;Для женщин;"[""https://xcimg.szwego.com/img/e2ea4d8a/20260425/i1777106008108_5958_0_0.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260425/i1777106008104_6749_0_1.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260425/i1777106008106_6525_0_2.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260425/i1777106005942_7191_0_3.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260425/i1777106005951_7042_0_4.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260425/i1777106005942_5686_0_5.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260425/i1777106005942_3860_0_6.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260425/i1777106005942_5552_0_7.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260425/i1777106008175_990_0_8.jpg""]"
_djurSrqJjCkAj833IW-MN6ldxHLoqHIdkLz-FZg;;Dior Dentelle凉拖由乔纳森。安德森(Jonathan Anderson)为Dior倾情设计，以时尚风范全新演绎Dior优雅的经典标识。流畅廓形，采用黑色棉质面料精心制作，饰以Oblique印花和白色蕾 丝，可为各式造型增添典雅气质。 💰:350 尺码：35-41;0;ivacgwvpdne0t35;nzg3vsvajpiv1e8;;Для женщин;"[""https://xcimg.szwego.com/img/e2ea4d8a/20260423/i1776935785116_3579_0_0.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260423/i1776935786628_9357_0_1.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260423/i1776935785144_5382_0_2.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260423/i1776935785215_7484_0_3.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260423/i1776935785173_7890_0_4.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260423/i1776935786691_4021_0_5.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260423/i1776935785223_8710_0_6.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260423/i1776935786688_7899_0_7.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260423/i1776935786728_1758_0_8.jpg""]"
_dwGrSne5nKQ-PlPdQxetCWe9KBkjxCAIoJRRUjA;;Dior Dentelle凉拖由乔纳森。安德森(Jonathan Anderson)为Dior倾情设计，以时尚风范全新演绎Dior优雅的经典标识。流畅廓形，采用淡粉色棉质面料精心制作，饰以Oblique印花和白色蕾 丝，可为各式造型增添典雅气质。 💰:350 尺码：35-41;0;ivacgwvpdne0t35;nzg3vsvajpiv1e8;;Для женщин;"[""https://xcimg.szwego.com/img/e2ea4d8a/20260423/i1776935599753_791_0_0.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260423/i1776935599737_7613_0_1.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260423/i1776935598132_1047_0_2.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260423/i1776935598054_3582_0_3.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260423/i1776935599734_8907_0_4.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260423/i1776935598120_1068_0_5.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260423/i1776935599734_8010_0_6.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260423/i1776935598140_4147_0_7.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260423/i1776935598123_3286_0_8.jpg""]"
_ddcrSq08PA-qjtkuSDLkJNmWxoa9pwIQ4frqfnQ;;Dior Dentelle凉拖由乔纳森。安德森(Jonathan Anderson)为Dior倾情设计，以时尚风范全新演绎Dior优雅的经典标识。流畅廓形，采用天蓝色棉质面料精心制作，饰以Oblique印花和白色蕾 丝，可为各式造型增添典雅气质。 💰:350 尺码：35-41;0;ivacgwvpdne0t35;nzg3vsvajpiv1e8;;Для женщин;"[""https://xcimg.szwego.com/img/e2ea4d8a/20260423/i1776935334514_4580_0_0.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260423/i1776935334574_2412_0_1.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260423/i1776935334514_678_0_2.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260423/i1776935338081_2996_0_3.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260423/i1776935338027_4851_0_5.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260423/i1776935334522_3579_0_6.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260423/i1776935397639_4737_0_8.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260423/i1776935338059_4791_0_7.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260423/i1776935334567_9297_0_8.jpg""]"
_dvxrSXqJLhRsQruGoIuedh-mg4IYDw_f_vAtlSw;;Dior Dentelle凉拖由乔纳森。安德森(Jonathan Anderson)为Dior倾情设计，以时尚风范全新演绎Dior优雅的经典标识。流畅廓形，采用特里亚农灰色棉质面料精心制作，饰以Oblique印花和白色蕾 丝，可为各式造型增添典雅气质。 💰:350 尺码：35-41;0;ivacgwvpdne0t35;nzg3vsvajpiv1e8;;Для женщин;"[""https://xcimg.szwego.com/img/e2ea4d8a/20260423/i1776934879472_7472_0_0.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260423/i1776934879387_790_0_1.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260423/i1776934879469_39_0_2.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260423/i1776934881527_3659_0_3.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260423/i1776934958558_7576_0_8.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260423/i1776934881459_4330_0_5.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260423/i1776934879465_5453_0_8.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260423/i1776934881515_8072_0_7.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260423/i1776934958502_8634_0_7.jpg""]"
_drorSTrM4UWcSRoUsKG63xJ64KkkRMP7hsw10fg;;Dior Dentelle凉拖由乔纳森。安德森(Jonathan Anderson)为Dior倾情设计，以时尚风范全新演绎Dior优雅的经典标识。流畅廓形，采用海军蓝色棉质面料精心制作，饰以Oblique印花和白色蕾 丝，可为各式造型增添典雅气质。 💰:350 尺码：35-41;0;ivacgwvpdne0t35;nzg3vsvajpiv1e8;;Для женщин;"[""https://xcimg.szwego.com/img/e2ea4d8a/20260423/i1776934391698_8857_0_0.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260423/i1776934391698_2089_0_1.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260423/i1776934391697_4560_0_2.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260423/i1776934391698_5646_0_3.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260423/i1776934391698_6646_0_4.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260423/i1776934397003_6111_0_5.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260423/i1776934397059_6264_0_6.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260423/i1776934397057_3402_0_7.jpg"", ""https://xcimg.szwego.com/img/e2ea4d8a/20260423/i1776934397032_7606_0_8.jpg""]"
