external_id;name;description;price;brand;category;subcategory;gender;photos
_dh5rSnhk9tSNKWwiFtFu6Gp-iYV3j3kj984wCYg;Berluti Брюки;Мужские брюки от бренда Berluti. Модель выполнена в коричневом цвете. Доступные размеры: 48-56.;0;i5129fa1bqw2mtb;lrg3k8cd5bgw3jv;bls7s6kan7cc3lz;Для мужчин;"[""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dh5rSnhk9tSNKWwiFtFu6Gp-iYV3j3kj984wCYg_0.jpg"",""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dh5rSnhk9tSNKWwiFtFu6Gp-iYV3j3kj984wCYg_1.jpg"",""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dh5rSnhk9tSNKWwiFtFu6Gp-iYV3j3kj984wCYg_2.jpg"",""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dh5rSnhk9tSNKWwiFtFu6Gp-iYV3j3kj984wCYg_3.jpg"",""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dh5rSnhk9tSNKWwiFtFu6Gp-iYV3j3kj984wCYg_4.jpg"",""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dh5rSnhk9tSNKWwiFtFu6Gp-iYV3j3kj984wCYg_5.jpg""]"
_dnyrSo4V50YaryCU2lKoEyfN_nclCQoQNu0U4yw;Brunello Cucinelli Футболка;Мужская футболка из новой коллекции. Модель представлена в широкой цветовой гамме: белый, черный, серый, темно-синий, бежевый и верблюжий цвета. Доступные размеры: от 48 до 56.;20000;ll73bx30faqq27r;lrg3k8cd5bgw3jv;997r6125hxovl3q;Для мужчин;"[""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dnyrSo4V50YaryCU2lKoEyfN_nclCQoQNu0U4yw_0.jpg"",""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dnyrSo4V50YaryCU2lKoEyfN_nclCQoQNu0U4yw_1.jpg"",""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dnyrSo4V50YaryCU2lKoEyfN_nclCQoQNu0U4yw_2.jpg"",""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dnyrSo4V50YaryCU2lKoEyfN_nclCQoQNu0U4yw_3.jpg"",""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dnyrSo4V50YaryCU2lKoEyfN_nclCQoQNu0U4yw_4.jpg"",""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dnyrSo4V50YaryCU2lKoEyfN_nclCQoQNu0U4yw_5.jpg"",""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dnyrSo4V50YaryCU2lKoEyfN_nclCQoQNu0U4yw_6.jpg"",""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dnyrSo4V50YaryCU2lKoEyfN_nclCQoQNu0U4yw_7.jpg"",""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dnyrSo4V50YaryCU2lKoEyfN_nclCQoQNu0U4yw_8.jpg"",""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dnyrSo4V50YaryCU2lKoEyfN_nclCQoQNu0U4yw_9.jpg"",""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dnyrSo4V50YaryCU2lKoEyfN_nclCQoQNu0U4yw_10.jpg""]"
_dlJrSIyhl74umoURaBbgk1C6LCLoODfodmoFccQ;Loro Piana Джинсы;Мужские джинсы из новой коллекции. Цвет: синий. Доступные размеры: 30, 31, 32, 33, 34, 36, 38.;25000;5f3npdmxcv8f190;lrg3k8cd5bgw3jv;htpbqikag6cv19a;Для мужчин;"[""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dlJrSIyhl74umoURaBbgk1C6LCLoODfodmoFccQ_0.jpg"",""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dlJrSIyhl74umoURaBbgk1C6LCLoODfodmoFccQ_1.jpg"",""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dlJrSIyhl74umoURaBbgk1C6LCLoODfodmoFccQ_2.jpg"",""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dlJrSIyhl74umoURaBbgk1C6LCLoODfodmoFccQ_3.jpg"",""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dlJrSIyhl74umoURaBbgk1C6LCLoODfodmoFccQ_4.jpg"",""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dlJrSIyhl74umoURaBbgk1C6LCLoODfodmoFccQ_5.jpg""]"
_dBLrSK4mBFQfz6j92sDmkltFIBvvQ1W2lWgbuFw;Brunello Cucinelli Джинсы;Мужские джинсы от бренда Brunello Cucinelli. Модель выполнена в бежевом цвете. Доступные размеры: 30, 31, 32, 33, 34, 36, 38.;25000;ll73bx30faqq27r;lrg3k8cd5bgw3jv;htpbqikag6cv19a;Для мужчин;"[""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dBLrSK4mBFQfz6j92sDmkltFIBvvQ1W2lWgbuFw_0.jpg"",""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dBLrSK4mBFQfz6j92sDmkltFIBvvQ1W2lWgbuFw_1.jpg"",""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dBLrSK4mBFQfz6j92sDmkltFIBvvQ1W2lWgbuFw_2.jpg"",""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dBLrSK4mBFQfz6j92sDmkltFIBvvQ1W2lWgbuFw_3.jpg"",""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dBLrSK4mBFQfz6j92sDmkltFIBvvQ1W2lWgbuFw_4.jpg"",""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dBLrSK4mBFQfz6j92sDmkltFIBvvQ1W2lWgbuFw_5.jpg""]"
_dxqrSmX9QPpN71yFmzFX6TNP37MWCRbYuH75dbQ;Loro Piana Джинсы;Мужские джинсы из новой коллекции. Цвет: светло-голубой. Доступные размеры: 30, 31, 32, 33, 34, 36, 38.;25000;5f3npdmxcv8f190;lrg3k8cd5bgw3jv;htpbqikag6cv19a;Для мужчин;"[""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dxqrSmX9QPpN71yFmzFX6TNP37MWCRbYuH75dbQ_0.jpg"",""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dxqrSmX9QPpN71yFmzFX6TNP37MWCRbYuH75dbQ_1.jpg"",""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dxqrSmX9QPpN71yFmzFX6TNP37MWCRbYuH75dbQ_2.jpg"",""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dxqrSmX9QPpN71yFmzFX6TNP37MWCRbYuH75dbQ_3.jpg"",""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dxqrSmX9QPpN71yFmzFX6TNP37MWCRbYuH75dbQ_4.jpg"",""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dxqrSmX9QPpN71yFmzFX6TNP37MWCRbYuH75dbQ_5.jpg""]"
_dc6rSpq0B1WPq8b5xkd0jr_b_hddL0zirpe_OQg;Brunello Cucinelli Джинсы;Мужские джинсы синего цвета. Модель из новой коллекции.;25000;ll73bx30faqq27r;lrg3k8cd5bgw3jv;htpbqikag6cv19a;Для мужчин;"[""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dc6rSpq0B1WPq8b5xkd0jr_b_hddL0zirpe_OQg_0.jpg"",""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dc6rSpq0B1WPq8b5xkd0jr_b_hddL0zirpe_OQg_1.jpg"",""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dc6rSpq0B1WPq8b5xkd0jr_b_hddL0zirpe_OQg_2.jpg"",""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dc6rSpq0B1WPq8b5xkd0jr_b_hddL0zirpe_OQg_3.jpg"",""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dc6rSpq0B1WPq8b5xkd0jr_b_hddL0zirpe_OQg_4.jpg"",""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dc6rSpq0B1WPq8b5xkd0jr_b_hddL0zirpe_OQg_5.jpg""]"
_dfWrSC09mRSr9rnu0a0Kior4Fvc1WAJdTqPaHwg;Zegna Штаны;Новая модель мужских повседневных брюк из коллекции 2026 года. Изделие представлено в трех цветах: белый, хаки и темно-синий. Доступные размеры: 48-56.;0;8xod4z3cjpbltoa;lrg3k8cd5bgw3jv;bls7s6kan7cc3lz;Для мужчин;"[""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dfWrSC09mRSr9rnu0a0Kior4Fvc1WAJdTqPaHwg_0.jpg"",""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dfWrSC09mRSr9rnu0a0Kior4Fvc1WAJdTqPaHwg_1.jpg"",""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dfWrSC09mRSr9rnu0a0Kior4Fvc1WAJdTqPaHwg_2.jpg"",""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dfWrSC09mRSr9rnu0a0Kior4Fvc1WAJdTqPaHwg_3.jpg"",""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dfWrSC09mRSr9rnu0a0Kior4Fvc1WAJdTqPaHwg_4.jpg"",""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dfWrSC09mRSr9rnu0a0Kior4Fvc1WAJdTqPaHwg_5.jpg"",""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dfWrSC09mRSr9rnu0a0Kior4Fvc1WAJdTqPaHwg_6.jpg"",""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dfWrSC09mRSr9rnu0a0Kior4Fvc1WAJdTqPaHwg_7.jpg"",""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dfWrSC09mRSr9rnu0a0Kior4Fvc1WAJdTqPaHwg_8.jpg""]"
_dFErSQ7a1X3p3OhMwKTv_I19r-mpnIbc-aRD5jA;Loro Piana Штаны;Мужские повседневные брюки из новой коллекции. Доступные цвета: белый, хаки, коричневый, серый. Размеры: 30, 31, 32, 33, 34, 36, 38.;25000;5f3npdmxcv8f190;lrg3k8cd5bgw3jv;bls7s6kan7cc3lz;Для мужчин;"[""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dFErSQ7a1X3p3OhMwKTv_I19r-mpnIbc-aRD5jA_0.jpg"",""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dFErSQ7a1X3p3OhMwKTv_I19r-mpnIbc-aRD5jA_1.jpg"",""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dFErSQ7a1X3p3OhMwKTv_I19r-mpnIbc-aRD5jA_2.jpg"",""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dFErSQ7a1X3p3OhMwKTv_I19r-mpnIbc-aRD5jA_3.jpg"",""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dFErSQ7a1X3p3OhMwKTv_I19r-mpnIbc-aRD5jA_4.jpg"",""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dFErSQ7a1X3p3OhMwKTv_I19r-mpnIbc-aRD5jA_5.jpg"",""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dFErSQ7a1X3p3OhMwKTv_I19r-mpnIbc-aRD5jA_6.jpg"",""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dFErSQ7a1X3p3OhMwKTv_I19r-mpnIbc-aRD5jA_7.jpg"",""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dFErSQ7a1X3p3OhMwKTv_I19r-mpnIbc-aRD5jA_8.jpg""]"
_drsrSu20ivf_FGWWG9Pq9rdm0tkwbHJMhChMx8A;Loro Piana Штаны;Новая модель брюк из коллекции 2026 года.\nЦвета: бежевый, черный.\nРазмерный ряд: 48-56.;0;5f3npdmxcv8f190;lrg3k8cd5bgw3jv;bls7s6kan7cc3lz;Для мужчин;"[""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_drsrSu20ivf_FGWWG9Pq9rdm0tkwbHJMhChMx8A_0.jpg"",""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_drsrSu20ivf_FGWWG9Pq9rdm0tkwbHJMhChMx8A_1.jpg"",""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_drsrSu20ivf_FGWWG9Pq9rdm0tkwbHJMhChMx8A_2.jpg"",""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_drsrSu20ivf_FGWWG9Pq9rdm0tkwbHJMhChMx8A_3.jpg"",""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_drsrSu20ivf_FGWWG9Pq9rdm0tkwbHJMhChMx8A_4.jpg"",""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_drsrSu20ivf_FGWWG9Pq9rdm0tkwbHJMhChMx8A_5.jpg""]"
_dsWrSOCPXwef8ECvKnK1_4hCg2FPj6L3KzG9pEQ;Berluti Брюки;Новая модель брюк из льна. Цвет: бежевый, коричневый. Размерный ряд: 48-56.;0;i5129fa1bqw2mtb;lrg3k8cd5bgw3jv;bls7s6kan7cc3lz;Для мужчин;"[""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dsWrSOCPXwef8ECvKnK1_4hCg2FPj6L3KzG9pEQ_0.jpg"",""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dsWrSOCPXwef8ECvKnK1_4hCg2FPj6L3KzG9pEQ_1.jpg"",""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dsWrSOCPXwef8ECvKnK1_4hCg2FPj6L3KzG9pEQ_2.jpg"",""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dsWrSOCPXwef8ECvKnK1_4hCg2FPj6L3KzG9pEQ_3.jpg"",""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dsWrSOCPXwef8ECvKnK1_4hCg2FPj6L3KzG9pEQ_4.jpg"",""https://static.yeezyunique.ru/batches/cd5c669a-69e5-4677-a27b-2397ef998a8c/_dsWrSOCPXwef8ECvKnK1_4hCg2FPj6L3KzG9pEQ_5.jpg""]"
