external_id;name;description;price;brand;category;subcategory;gender;photos
_dxnrSKt-WsdY_oz4SLSe5uOLAd-eitWtajXSlwQ;Dior;【实拍图一组】 （无标）CD深灰抽绳休闲长裤;0;ivacgwvpdne0t35;lrg3k8cd5bgw3jv;;;"[""https://xcimg.szwego.com/imgHD/40e11610/20260429/cmp_i1777470695569_5333_0_0.jpg"", ""https://xcimg.szwego.com/imgHD/40e11610/20260429/cmp_i1777470764898_9448_0_1.jpg"", ""https://xcimg.szwego.com/imgHD/40e11610/20260429/cmp_i1777470695569_3034_0_2.jpg"", ""https://xcimg.szwego.com/imgHD/40e11610/20260429/cmp_i1777470764890_5763_0_3.jpg"", ""https://xcimg.szwego.com/imgHD/40e11610/20260429/cmp_i1777470695574_5954_0_4.jpg"", ""https://xcimg.szwego.com/imgHD/40e11610/20260429/cmp_i1777470695580_2060_0_5.jpg"", ""https://xcimg.szwego.com/imgHD/40e11610/20260429/cmp_i1777470765978_3728_0_6.jpg"", ""https://xcimg.szwego.com/imgHD/40e11610/20260429/cmp_i1777470764891_7836_0_7.jpg"", ""https://xcimg.szwego.com/imgHD/40e11610/20260429/cmp_i1777470695569_4949_0_8.jpg""]"
_dTOrSMYH5nILDbD5mXt2xhMzqL-Vq0_okykO8cg;Dior;【实拍图一组】 （无标）CD深灰刺绣拉链卫衣;0;ivacgwvpdne0t35;lrg3k8cd5bgw3jv;;;"[""https://xcimg.szwego.com/imgHD/40e11610/20260429/cmp_i1777470451561_8250_0_0.jpg"", ""https://xcimg.szwego.com/imgHD/40e11610/20260429/cmp_i1777470451575_4057_0_1.jpg"", ""https://xcimg.szwego.com/imgHD/40e11610/20260429/cmp_i1777470451563_729_0_2.jpg"", ""https://xcimg.szwego.com/imgHD/40e11610/20260429/cmp_i1777470454226_532_0_3.jpg"", ""https://xcimg.szwego.com/imgHD/40e11610/20260429/cmp_i1777470457387_2500_0_4.jpg"", ""https://xcimg.szwego.com/imgHD/40e11610/20260429/cmp_i1777470451569_143_0_5.jpg"", ""https://xcimg.szwego.com/imgHD/40e11610/20260429/cmp_i1777470454210_5629_0_6.jpg"", ""https://xcimg.szwego.com/imgHD/40e11610/20260429/cmp_i1777470451562_8872_0_7.jpg"", ""https://xcimg.szwego.com/imgHD/40e11610/20260429/cmp_i1777470454218_2800_0_8.jpg""]"
_dx8rSlFnJ4_MyY0qr-YdYfz8gIaiVibQRfTVoVA;Louis Vuitton;【实拍图一组】 （无标）L白色荧光字母短袖;0;977uh954t91spxq;lrg3k8cd5bgw3jv;;;"[""https://xcimg.szwego.com/imgHD/8ef1d910/20250613/cmp_i1749823396329_7275_0_0.jpg"", ""https://xcimg.szwego.com/imgHD/8ef1d910/20250613/cmp_i1749823396340_3814_0_1.jpg"", ""https://xcimg.szwego.com/imgHD/8ef1d910/20250613/cmp_i1749823396332_1568_0_2.jpg"", ""https://xcimg.szwego.com/imgHD/8ef1d910/20250613/cmp_i1749823393425_7665_0_3.jpg"", ""https://xcimg.szwego.com/imgHD/8ef1d910/20250613/cmp_i1749823393430_6643_0_4.jpg"", ""https://xcimg.szwego.com/imgHD/8ef1d910/20250613/cmp_i1749823396340_302_0_5.jpg"", ""https://xcimg.szwego.com/imgHD/8ef1d910/20250613/cmp_i1749823393425_207_0_6.jpg"", ""https://xcimg.szwego.com/imgHD/8ef1d910/20250613/cmp_i1749823393433_4010_0_7.jpg"", ""https://xcimg.szwego.com/imgHD/8ef1d910/20250613/cmp_i1749823393425_7670_0_8.jpg""]"
_dKQrSTKU-_LkJWctq2UIDu47xd6KN19jKGT7ryQ;Louis Vuitton;【实拍图一组】 （无标）L黑色荧光字母短袖;0;977uh954t91spxq;lrg3k8cd5bgw3jv;;;"[""https://xcimg.szwego.com/imgHD/8ef1d910/20250611/cmp_i1749633878726_5283_0_0.jpg"", ""https://xcimg.szwego.com/imgHD/8ef1d910/20250611/cmp_i1749633878727_6513_0_1.jpg"", ""https://xcimg.szwego.com/imgHD/8ef1d910/20250611/cmp_i1749633878728_6950_0_2.jpg"", ""https://xcimg.szwego.com/imgHD/8ef1d910/20250611/cmp_i1749633878726_6787_0_3.jpg"", ""https://xcimg.szwego.com/imgHD/8ef1d910/20250611/cmp_i1749633881440_3124_0_4.jpg"", ""https://xcimg.szwego.com/imgHD/8ef1d910/20250611/cmp_i1749633881458_2483_0_5.jpg"", ""https://xcimg.szwego.com/imgHD/8ef1d910/20250611/cmp_i1749633878733_1828_0_6.jpg"", ""https://xcimg.szwego.com/imgHD/8ef1d910/20250611/cmp_i1749633881447_6923_0_7.jpg"", ""https://xcimg.szwego.com/imgHD/8ef1d910/20250611/cmp_i1749633881464_4853_0_8.jpg""]"
_de2rS3QMSSMwEq5udA07MeV7zl4iidRUwrZlVtw;Acne Studios;【实拍图一组】 （无标）Ac蓝色破洞脏脏牛仔裤;0;ywtm8whmvoz75gh;lrg3k8cd5bgw3jv;;;"[""https://xcimg.szwego.com/imgHD/40e11610/20260427/cmp_i1777303290384_3784_0_0.jpg"", ""https://xcimg.szwego.com/imgHD/40e11610/20260427/cmp_i1777303298747_1109_0_1.jpg"", ""https://xcimg.szwego.com/imgHD/40e11610/20260427/cmp_i1777303289551_9249_0_2.jpg"", ""https://xcimg.szwego.com/imgHD/40e11610/20260427/cmp_i1777303289543_3877_0_3.jpg"", ""https://xcimg.szwego.com/imgHD/40e11610/20260427/cmp_i1777303290410_3629_0_4.jpg"", ""https://xcimg.szwego.com/imgHD/40e11610/20260427/cmp_i1777303298758_9474_0_5.jpg"", ""https://xcimg.szwego.com/imgHD/40e11610/20260427/cmp_i1777303298654_8168_0_6.jpg"", ""https://xcimg.szwego.com/imgHD/40e11610/20260427/cmp_i1777303289558_7429_0_7.jpg"", ""https://xcimg.szwego.com/imgHD/40e11610/20260427/cmp_i1777303298715_6485_0_8.jpg""]"
_dearSbW_AuRoI6NUF9G27eshnVqJFPTEYp9dSGg;Miu Miu;【实拍图一组】 （无标）miu白色刺绣logo衬衫;0;cn386fag2q87srw;lrg3k8cd5bgw3jv;;;"[""https://xcimg.szwego.com/imgHD/40e11610/20260421/cmp_i1776776938400_1986_0_0.jpg"", ""https://xcimg.szwego.com/imgHD/40e11610/20260421/cmp_i1776776938400_4230_0_1.jpg"", ""https://xcimg.szwego.com/imgHD/40e11610/20260421/cmp_i1776776938400_9728_0_2.jpg"", ""https://xcimg.szwego.com/imgHD/40e11610/20260421/cmp_i1776776945318_4100_0_3.jpg"", ""https://xcimg.szwego.com/imgHD/40e11610/20260421/cmp_i1776776945317_592_0_4.jpg"", ""https://xcimg.szwego.com/imgHD/40e11610/20260421/cmp_i1776776945295_4433_0_5.jpg"", ""https://xcimg.szwego.com/imgHD/40e11610/20260421/cmp_i1776776938400_6983_0_6.jpg"", ""https://xcimg.szwego.com/imgHD/40e11610/20260421/cmp_i1776776938400_3562_0_7.jpg"", ""https://xcimg.szwego.com/imgHD/40e11610/20260421/cmp_i1776776945296_4262_0_8.jpg""]"
_d8trSL38QjHdDDGLlaVys_v1Uz9r56angrvux_g;Miu Miu;【实拍图一组】 （无标）miu蓝咖色格子长袖衬衫;0;cn386fag2q87srw;lrg3k8cd5bgw3jv;;;"[""https://xcimg.szwego.com/imgHD/8ef1d910/20251004/cmp_i1759563586112_5118_0_0.jpg"", ""https://xcimg.szwego.com/imgHD/8ef1d910/20251004/cmp_i1759563586087_3140_0_1.jpg"", ""https://xcimg.szwego.com/imgHD/8ef1d910/20251004/cmp_i1759563586128_1976_0_2.jpg"", ""https://xcimg.szwego.com/imgHD/8ef1d910/20251004/cmp_i1759563592389_4266_0_3.jpg"", ""https://xcimg.szwego.com/imgHD/8ef1d910/20251004/cmp_i1759563586164_3534_0_4.jpg"", ""https://xcimg.szwego.com/imgHD/8ef1d910/20251004/cmp_i1759563592476_9783_0_5.jpg"", ""https://xcimg.szwego.com/imgHD/8ef1d910/20251004/cmp_i1759563586153_5948_0_6.jpg"", ""https://xcimg.szwego.com/imgHD/8ef1d910/20251004/cmp_i1759563592406_6274_0_7.jpg"", ""https://xcimg.szwego.com/imgHD/8ef1d910/20251004/cmp_i1759563592462_1268_0_8.jpg""]"
_dqVrSmJ16AWv5UhDHiw3nDnOgfTB-jXej32WcTw;Miu Miu;【实拍图一组】 （无标）miu蓝色格子衬衫;0;cn386fag2q87srw;lrg3k8cd5bgw3jv;;;"[""https://xcimg.szwego.com/img/8ef1d910/20240609/i1717866137_4788_6.jpg"", ""https://xcimg.szwego.com/img/8ef1d910/20240609/i1717866137_884_5.jpg"", ""https://xcimg.szwego.com/img/8ef1d910/20240609/i1717866137_9389_8.jpg"", ""https://xcimg.szwego.com/img/8ef1d910/20240609/i1717866137_9514_0.jpg"", ""https://xcimg.szwego.com/img/8ef1d910/20240609/i1717866137_7239_2.jpg"", ""https://xcimg.szwego.com/img/8ef1d910/20240609/i1717866137_8301_7.jpg"", ""https://xcimg.szwego.com/img/8ef1d910/20240609/i1717866137_7734_4.jpg"", ""https://xcimg.szwego.com/img/8ef1d910/20240609/i1717866137_1770_1.jpg"", ""https://xcimg.szwego.com/img/8ef1d910/20240609/i1717866137_270_3.jpg""]"
_d_nrSgzGQgl2_hE8WOb1XlZXPTSGWpaQ8q-DRbA;Miu Miu;【实拍图一组】 （无标）miu浅蓝色格子衬衫;0;cn386fag2q87srw;lrg3k8cd5bgw3jv;;;"[""https://xcimg.szwego.com/img/8ef1d910/20240814/i1723646677_563_1.jpg"", ""https://xcimg.szwego.com/img/8ef1d910/20240814/i1723646677_1015_0.jpg"", ""https://xcimg.szwego.com/img/8ef1d910/20240814/i1723646677_4489_3.jpg"", ""https://xcimg.szwego.com/img/8ef1d910/20240814/i1723646677_2193_4.jpg"", ""https://xcimg.szwego.com/img/8ef1d910/20240814/i1723646677_9944_2.jpg"", ""https://xcimg.szwego.com/img/8ef1d910/20240814/i1723646677_8728_5.jpg"", ""https://xcimg.szwego.com/img/8ef1d910/20240814/i1723646677_5074_6.jpg"", ""https://xcimg.szwego.com/img/8ef1d910/20240814/i1723646677_6654_7.jpg"", ""https://xcimg.szwego.com/img/8ef1d910/20240814/i1723646677_6960_8.jpg""]"
_dt3rSSO15Vsu5Nre0StezquwgYnU8upGsmgWTbA;Miu Miu;【实拍图一组】 （无标）miu蓝色口袋衬衫;0;cn386fag2q87srw;lrg3k8cd5bgw3jv;;;"[""https://xcimg.szwego.com/imgHD/8ef1d910/20250623/cmp_i1750643841373_9446_0_0.jpg"", ""https://xcimg.szwego.com/imgHD/8ef1d910/20250623/cmp_i1750643838878_7881_0_1.jpg"", ""https://xcimg.szwego.com/imgHD/8ef1d910/20250623/cmp_i1750643841354_2583_0_2.jpg"", ""https://xcimg.szwego.com/imgHD/8ef1d910/20250623/cmp_i1750643838880_2212_0_3.jpg"", ""https://xcimg.szwego.com/imgHD/8ef1d910/20250623/cmp_i1750643841366_6571_0_4.jpg"", ""https://xcimg.szwego.com/imgHD/8ef1d910/20250623/cmp_i1750643838878_6737_0_5.jpg"", ""https://xcimg.szwego.com/imgHD/8ef1d910/20250623/cmp_i1750643838882_7905_0_6.jpg"", ""https://xcimg.szwego.com/imgHD/8ef1d910/20250623/cmp_i1750643838878_4325_0_7.jpg"", ""https://xcimg.szwego.com/imgHD/8ef1d910/20250623/cmp_i1750643841360_78_0_8.jpg""]"
